cloud_cover,Condition,Precipitation,relative_humidity,Visibility,wind_direction,wind_speed,wind_gust_speed,Sunshine,Temperature,Station,timestamp
88,dry,0.0,98,3461,280,9.7,10.4,0.0,0.4,Kiel-Holtenau,2023-03-03T00:00:00+00:00
0,dry,0.0,99,1651,280,8.3,9.4,0.0,0.4,Kiel-Holtenau,2023-03-03T00:30:00+00:00
0,fog,0.0,99,642,290,10.1,11.2,0.0,-0.4,Kiel-Holtenau,2023-03-03T01:00:00+00:00
0,fog,0.0,99,867,290,10.4,12.6,0.0,-0.8,Kiel-Holtenau,2023-03-03T01:30:00+00:00
0,dry,0.0,98,1098,280,11.9,12.6,0.0,-1.4,Kiel-Holtenau,2023-03-03T02:00:00+00:00
0,dry,0.0,99,1259,280,7.9,10.4,0.0,-0.8,Kiel-Holtenau,2023-03-03T03:00:00+00:00
0,dry,0.0,98,3110,280,9.4,10.4,0.0,-1.4,Kiel-Holtenau,2023-03-03T03:30:00+00:00
0,dry,0.0,98,2847,280,7.6,10.1,0.0,-1.4,Kiel-Holtenau,2023-03-03T04:00:00+00:00
0,dry,0.0,96,3506,290,9.0,10.4,0.0,-2.6,Kiel-Holtenau,2023-03-03T04:30:00+00:00
0,dry,0.0,97,5420,280,10.4,12.2,0.0,-1.8,Kiel-Holtenau,2023-03-03T05:00:00+00:00
100,fog,0.0,100,141,300,9.7,13.0,0.0,0.2,Kiel-Holtenau,2023-03-03T06:00:00+00:00
100,fog,0.0,100,165,300,6.8,10.4,0.0,0.3,Kiel-Holtenau,2023-03-03T06:30:00+00:00
100,fog,0.0,100,122,270,9.0,11.9,0.0,0.3,Kiel-Holtenau,2023-03-03T07:00:00+00:00
100,fog,0.0,100,246,270,6.1,8.3,0.0,0.3,Kiel-Holtenau,2023-03-03T07:30:00+00:00
100,fog,0.0,100,673,250,7.6,10.8,0.0,0.4,Kiel-Holtenau,2023-03-03T08:00:00+00:00
100,dry,0.0,100,1672,260,10.4,14.0,0.0,0.6,Kiel-Holtenau,2023-03-03T08:30:00+00:00
100,dry,0.0,100,13520,250,7.6,11.5,0.0,1.5,Kiel-Holtenau,2023-03-03T09:00:00+00:00
100,dry,0.0,89,40359,260,8.6,14.0,0.0,3.3,Kiel-Holtenau,2023-03-03T10:00:00+00:00
100,dry,0.0,87,58221,260,14.0,19.4,0.0,4.1,Kiel-Holtenau,2023-03-03T10:30:00+00:00
100,dry,0.0,84,54092,260,20.5,29.5,0.0,4.6,Kiel-Holtenau,2023-03-03T11:00:00+00:00
100,dry,0.0,82,54639,270,20.9,31.0,0.0,4.9,Kiel-Holtenau,2023-03-03T11:30:00+00:00
100,dry,0.0,80,37143,270,19.8,30.6,3.0,5.3,Kiel-Holtenau,2023-03-03T12:00:00+00:00
100,dry,0.0,76,45777,270,19.8,31.3,5.0,6.0,Kiel-Holtenau,2023-03-03T12:30:00+00:00
88,dry,0.0,73,44433,270,27.4,35.3,30.0,6.7,Kiel-Holtenau,2023-03-03T13:30:00+00:00
88,dry,0.0,75,38196,280,25.2,34.9,30.0,6.7,Kiel-Holtenau,2023-03-03T14:00:00+00:00
88,dry,0.0,75,38196,280,25.2,34.9,30.0,6.7,Kiel-Holtenau,2023-03-03T14:00:00+00:00
75,dry,0.0,73,36651,270,28.4,40.0,30.0,6.6,Kiel-Holtenau,2023-03-03T14:30:00+00:00
88,dry,0.0,74,31372,260,26.3,37.4,30.0,6.2,Kiel-Holtenau,2023-03-03T15:00:00+00:00
88,dry,0.0,76,27586,270,28.8,40.7,30.0,5.9,Kiel-Holtenau,2023-03-03T15:30:00+00:00
100,dry,0.0,75,30048,260,25.6,37.8,30.0,5.7,Kiel-Holtenau,2023-03-03T16:00:00+00:00
100,dry,0.0,78,26981,270,25.6,32.4,30.0,5.4,Kiel-Holtenau,2023-03-03T16:30:00+00:00
100,dry,0.0,79,26574,270,24.1,34.6,19.0,5.0,Kiel-Holtenau,2023-03-03T17:00:00+00:00
100,dry,0.0,82,22227,270,22.7,37.8,0.0,4.8,Kiel-Holtenau,2023-03-03T17:30:00+00:00
100,dry,0.0,84,22758,260,22.0,29.9,0.0,4.5,Kiel-Holtenau,2023-03-03T18:00:00+00:00
100,dry,0.0,87,23225,260,24.1,37.8,0.0,4.4,Kiel-Holtenau,2023-03-03T18:30:00+00:00
100,dry,0.0,90,21632,260,19.8,28.4,0.0,4.1,Kiel-Holtenau,2023-03-03T19:00:00+00:00
88,dry,0.0,92,18666,270,21.2,29.5,0.0,4.0,Kiel-Holtenau,2023-03-03T19:30:00+00:00
100,dry,0.0,92,16396,270,20.5,28.4,0.0,3.6,Kiel-Holtenau,2023-03-03T20:00:00+00:00
63,dry,0.0,93,15950,270,19.4,27.0,0.0,3.3,Kiel-Holtenau,2023-03-03T20:30:00+00:00
63,dry,0.0,92,18238,270,18.4,23.8,0.0,3.1,Kiel-Holtenau,2023-03-03T21:00:00+00:00
100,dry,0.0,91,20363,270,19.8,27.4,0.0,3.6,Kiel-Holtenau,2023-03-03T21:30:00+00:00
100,dry,0.0,87,26167,290,19.4,30.6,0.0,4.7,Kiel-Holtenau,2023-03-03T22:00:00+00:00
100,dry,0.0,84,32687,300,22.3,34.6,0.0,5.3,Kiel-Holtenau,2023-03-03T22:30:00+00:00
100,dry,0.0,81,38437,300,24.8,36.0,0.0,5.6,Kiel-Holtenau,2023-03-03T23:00:00+00:00
88,dry,0.0,78,47335,300,25.6,34.9,0.0,6.0,Kiel-Holtenau,2023-03-03T23:30:00+00:00
88,dry,0.0,78,46950,300,27.4,41.0,0.0,6.1,Kiel-Holtenau,2023-03-04T00:00:00+00:00
88,dry,0.0,79,50173,300,20.5,35.3,0.0,5.8,Kiel-Holtenau,2023-03-04T00:30:00+00:00
100,dry,0.0,79,45942,310,26.3,41.4,0.0,6.1,Kiel-Holtenau,2023-03-04T01:00:00+00:00
100,dry,0.0,81,36214,310,27.7,40.3,0.0,6.0,Kiel-Holtenau,2023-03-04T01:30:00+00:00
100,rain,0.0,81,32981,310,25.2,36.7,0.0,6.1,Kiel-Holtenau,2023-03-04T02:00:00+00:00
